--------- beginning of main
09-18 16:50:17.816 I/HEM96   (11188): HOLD CHAT id=ec55563f-5877-44ea-84ad-4efb873188d7 user=hem96-an created=2026-09-18T23:50:14Z received=2026-09-18T23:50:17.816Z dup=false text=LclientB-fixrun3 s0 n25 2026-09-18T23:50
09-18 16:50:17.817 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:50:17.817Z ChatBatchReceived(messages=1 reactions=0 ids=ec55563f)
09-18 16:50:22.535 I/HEM96   (11188): HOLD t=260s state=Active conn=Connected events=57 reconnecting=24 batches=20 chats=25 dup=0 streamUpdated=4 participants=1 polls=4 pss_kb=58233
09-18 16:50:26.840 I/HEM96   (11188): HOLD CHAT id=96156c3d-8838-4256-b30f-e1f3f67f784c user=hem96-an created=2026-09-18T23:50:24Z received=2026-09-18T23:50:26.839Z dup=false text=LclientB-fixrun3 s0 n26 2026-09-18T23:50
09-18 16:50:26.841 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:50:26.841Z ChatBatchReceived(messages=1 reactions=0 ids=96156c3d)
09-18 16:50:32.549 I/HEM96   (11188): HOLD t=270s state=Active conn=Connected events=58 reconnecting=24 batches=21 chats=26 dup=0 streamUpdated=4 participants=1 polls=4 pss_kb=59101
09-18 16:50:42.565 I/HEM96   (11188): HOLD t=280s state=Active conn=Connected events=58 reconnecting=24 batches=21 chats=26 dup=0 streamUpdated=4 participants=1 polls=4 pss_kb=60105
09-18 16:50:52.581 I/HEM96   (11188): HOLD t=290s state=Active conn=Connected events=58 reconnecting=24 batches=21 chats=26 dup=0 streamUpdated=4 participants=1 polls=4 pss_kb=60873
09-18 16:51:02.603 I/HEM96   (11188): HOLD t=300s state=Active conn=Connected events=58 reconnecting=24 batches=21 chats=26 dup=0 streamUpdated=4 participants=1 polls=4 pss_kb=61565
09-18 16:51:02.605 I/HEM96   (11188): ROW HOLD FAIL seconds=300 finalState=Active everDisconnected=true reconnectingEvents=24 chats=26 dup=0 sent=0 events=58
09-18 16:51:02.607 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:51:02.607Z StateChanged(Stopping)
09-18 16:51:02.660 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:51:02.660Z ConnectionChanged(Disconnected)
09-18 16:51:02.662 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:51:02.661Z StateChanged(Stopped)
09-18 16:51:02.663 I/HEM96   (11188): AUTORUN COMPLETE
