--------- beginning of main
09-18 15:42:46.073 I/HEM96   ( 6534): HOLD CHAT id=af19849f-463d-4d54-9d12-1ddad4c96ad5 user=hem96-an created=2026-09-18T22:42:39Z received=2026-09-18T22:42:46.072Z dup=true text=LclientB-run6 s0 n22 2026-09-18T22:42:39
09-18 15:42:46.074 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:46.074Z ChatBatchReceived(messages=1 reactions=0 ids=af19849f)
09-18 15:42:46.879 I/HEM96   ( 6534): HOLD t=230s state=Active conn=Connected events=31 reconnecting=1 batches=20 chats=10 dup=10 streamUpdated=3 participants=0 polls=4 pss_kb=59937
09-18 15:42:52.095 I/HEM96   ( 6534): HOLD CHAT id=19694c5f-d6c4-46fe-803c-2bf4d16d39a2 user=hem96-an created=2026-09-18T22:42:49Z received=2026-09-18T22:42:52.095Z dup=false text=LclientB-run6 s0 n23 2026-09-18T22:42:49
09-18 15:42:52.096 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:52.096Z ChatBatchReceived(messages=1 reactions=0 ids=19694c5f)
09-18 15:42:55.106 I/HEM96   ( 6534): HOLD CHAT id=19694c5f-d6c4-46fe-803c-2bf4d16d39a2 user=hem96-an created=2026-09-18T22:42:49Z received=2026-09-18T22:42:55.105Z dup=true text=LclientB-run6 s0 n23 2026-09-18T22:42:49
09-18 15:42:55.108 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:55.107Z ChatBatchReceived(messages=1 reactions=0 ids=19694c5f)
09-18 15:42:56.593 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:42:56.593Z ParticipantsUpdated(host=a533e186 cohosts=0 guests=0 waiting=0 room=[hem96-an, fff4c1ac])
09-18 15:42:56.888 I/HEM96   ( 6534): HOLD t=240s state=Active conn=Connected events=34 reconnecting=1 batches=22 chats=11 dup=11 streamUpdated=3 participants=1 polls=4 pss_kb=61020
09-18 15:43:04.124 I/HEM96   ( 6534): HOLD CHAT id=7e009989-892d-4166-8260-f275ccf67748 user=hem96-an created=2026-09-18T22:42:59Z received=2026-09-18T22:43:04.122Z dup=false text=LclientB-run6 s0 n24 2026-09-18T22:42:59
09-18 15:43:04.125 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:43:04.125Z ChatBatchReceived(messages=1 reactions=0 ids=7e009989)
09-18 15:43:06.901 I/HEM96   ( 6534): HOLD t=250s state=Active conn=Connected events=35 reconnecting=1 batches=23 chats=12 dup=11 streamUpdated=3 participants=1 polls=4 pss_kb=57808
09-18 15:43:13.144 I/HEM96   ( 6534): HOLD CHAT id=fc885df4-ba72-4ff5-b1bf-fb59b7a10517 user=hem96-an created=2026-09-18T22:43:09Z received=2026-09-18T22:43:13.144Z dup=false text=LclientB-run6 s0 n25 2026-09-18T22:43:09
09-18 15:43:13.145 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:43:13.145Z ChatBatchReceived(messages=1 reactions=0 ids=fc885df4)
09-18 15:43:16.153 I/HEM96   ( 6534): HOLD CHAT id=fc885df4-ba72-4ff5-b1bf-fb59b7a10517 user=hem96-an created=2026-09-18T22:43:09Z received=2026-09-18T22:43:16.152Z dup=true text=LclientB-run6 s0 n25 2026-09-18T22:43:09
09-18 15:43:16.154 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:43:16.153Z ChatBatchReceived(messages=1 reactions=0 ids=fc885df4)
09-18 15:43:16.911 I/HEM96   ( 6534): HOLD t=260s state=Active conn=Connected events=37 reconnecting=1 batches=25 chats=13 dup=12 streamUpdated=3 participants=1 polls=4 pss_kb=58684
09-18 15:43:22.166 I/HEM96   ( 6534): HOLD CHAT id=632c1963-00e6-469c-802d-e125b81166d5 user=hem96-an created=2026-09-18T22:43:19Z received=2026-09-18T22:43:22.166Z dup=false text=LclientB-run6 s0 n26 2026-09-18T22:43:19
09-18 15:43:22.167 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:43:22.167Z ChatBatchReceived(messages=1 reactions=0 ids=632c1963)
09-18 15:43:25.176 I/HEM96   ( 6534): HOLD CHAT id=632c1963-00e6-469c-802d-e125b81166d5 user=hem96-an created=2026-09-18T22:43:19Z received=2026-09-18T22:43:25.175Z dup=true text=LclientB-run6 s0 n26 2026-09-18T22:43:19
09-18 15:43:25.177 I/HEM96   ( 6534): HOLD EVENT 2026-09-18T22:43:25.177Z ChatBatchReceived(messages=1 reactions=0 ids=632c1963)
09-18 15:43:26.920 I/HEM96   ( 6534): HOLD t=270s state=Active conn=Connected events=39 reconnecting=1 batches=27 chats=14 dup=13 streamUpdated=3 participants=1 polls=4 pss_kb=59548
09-18 15:43:34.195 I/HEM96   ( 6534): HOLD CHAT id=52427a73-6bb9-4f2e-b0a2-9077deeca747 user=hem96-an created=2026-09-18T22:43:30Z received=2026-09-18T22:43:34.194Z dup=false text=LclientB-run6 s0 n27 2026-09-18T22:43:30
